percent_kabbage,fips_code,project_county
0.5500550055005501,01001,AUTAUGA
1.1324824734855294,01003,BALDWIN
2.585034013605442,01005,BARBOUR
2.0408163265306123,01007,BIBB
0.43415340086830684,01009,BLOUNT
2.314814814814815,01011,BULLOCK
2.232142857142857,01013,BUTLER
2.5040827436037016,01015,CALHOUN
1.5717092337917484,01017,CHAMBERS
0.6349206349206349,01019,CHEROKEE
1.6272189349112427,01021,CHILTON
1.0101010101010102,01023,CHOCTAW
1.4953271028037385,01025,CLARKE
NA,01027,CLAY
2.450980392156863,01029,CLEBURNE
1.4691478942213516,01031,COFFEE
0.3857280617164899,01033,COLBERT
2.5559105431309903,01035,CONECUH
2.197802197802198,01037,COOSA
2.127659574468085,01039,COVINGTON
0.2597402597402597,01041,CRENSHAW
0.42643923240938164,01043,CULLMAN
0.6191950464396285,01045,DALE
1.5277777777777777,01047,DALLAS
NA,01049,DEKALB
0.6102212051868803,01051,ELMORE
1.0477299185098952,01053,ESCAMBIA
2.501389660922735,01055,ETOWAH
5.533596837944664,01057,FAYETTE
0.7326007326007326,01059,FRANKLIN
0.7936507936507936,01061,GENEVA
0.7109004739336493,01063,GREENE
1.3333333333333335,01065,HALE
0.4123711340206186,01067,HENRY
0.7374158384097467,01069,HOUSTON
0.10427528675703858,01071,JACKSON
1.707116412998766,01073,JEFFERSON
1.1811023622047243,01075,LAMAR
0.43923865300146414,01077,LAUDERDALE
NA,01079,LAWRENCE
2.146060217809097,01081,LEE
1.2113055181695829,01083,LIMESTONE
0.7194244604316548,01085,LOWNDES
3.0848329048843186,01087,MACON
1.3962033067973056,01089,MADISON
1.129032258064516,01091,MARENGO
0.7766990291262136,01093,MARION
0.4280363830925628,01095,MARSHALL
3.2187323146576117,01097,MOBILE
3.5211267605633805,01099,MONROE
1.5527950310559007,01101,MONTGOMERY
0.43426766679826295,01103,MORGAN
0.5434782608695652,01105,PERRY
0.48543689320388345,01107,PICKENS
0.6345177664974619,01109,PIKE
2.663934426229508,01111,RANDOLPH
2.7728613569321534,01113,RUSSELL
2.801120448179272,01115,SAINT CLAIR
1.5526046986721145,01117,SHELBY
1.837270341207349,01119,SUMTER
2.303754266211604,01121,TALLADEGA
1.0416666666666665,01123,TALLAPOOSA
2.009603414547395,01125,TUSCALOOSA
1.7045454545454544,01127,WALKER
1.2903225806451613,01129,WASHINGTON
0.28169014084507044,01131,WILCOX
4.1208791208791204,01133,WINSTON
1.3888888888888888,02013,ALEUTIANS EAST
NA,02016,ALEUTIANS WEST CENSUS AREA
NA,02020,ANCHORAGE MUNICIPALITY
NA,02050,BETHEL CENSUS AREA
NA,02060,BRISTOL BAY
NA,02068,DENALI
NA,02070,DILLINGHAM CENSUS AREA
0.055741360089186176,02090,FAIRBANKS NORTH STAR
NA,02100,HAINES
NA,02105,HOONAH-ANGOON CENSUS AREA
0.6157635467980296,02110,JUNEAU
0.44969083754918493,02122,KENAI PENINSULA
0.1855287569573284,02130,KETCHIKAN GATEWAY
NA,02150,KODIAK ISLAND
NA,02158,KUSILVAK CENSUS AREA
NA,02164,LAKE AND PENINSULA
NA,02170,MATANUSKA-SUSITNA
NA,02180,NOME CENSUS AREA
2.941176470588235,02185,NORTH SLOPE
NA,02188,NORTHWEST ARCTIC
NA,02195,PETERSBURG CENSUS AREA
NA,02198,PRINCE OF WALES-HYDER CENSUS AREA
NA,02201,PRINCE OF WALES-OUTER KETCHIKAN CENSUS AREA
0.5671077504725899,02220,SITKA
NA,02230,SKAGWAY MUNICIPALITY
NA,02231,SKAGWAY-YAKUTAT-ANGOON CENSUS AREA
NA,02232,SKAGWAY-HOONAH-ANGOON CENSUS AREA
NA,02240,SOUTHEAST FAIRBANKS CENSUS AREA
NA,02261,VALDEZ-CORDOVA CENSUS AREA
NA,02270,WADE HAMPTON CENSUS AREA
NA,02275,WRANGELL
NA,02280,WRANGELL-PETERSBURG CENSUS AREA
NA,02282,YAKUTAT CITY AND
NA,02290,YUKON-KOYUKUK CENSUS AREA
1.4285714285714286,04001,APACHE
0.7377049180327869,04003,COCHISE
1.2129380053908356,04005,COCONINO
0.19723865877712032,04007,GILA
1.5037593984962405,04009,GRAHAM
NA,04011,GREENLEE
2.083333333333333,04012,LA PAZ
1.713962325167758,04013,MARICOPA
1.161751563896336,04015,MOHAVE
1.4492753623188406,04017,"NAVAJO"
1.7219435501983977,04019,PIMA
1.8262457605009133,04021,PINAL
1.4469453376205788,04023,SANTA CRUZ
1.4372581536760642,04025,YAVAPAI
1.1286681715575622,04027,YUMA
0.3454231433506045,05001,ARKANSAS
0.9478672985781991,05003,ASHLEY
0.12836970474967907,05005,BAXTER
0.4715969989281886,05007,BENTON
0.18484288354898337,05009,BOONE
1.7006802721088436,05011,BRADLEY
